PRISM Time Series Data
Locations: 67
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2006-01-01 - 2006-12-31
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2023-Jun-15
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
Alachua,-82.3576,29.6748,147.0,2006-01-01,0.00,54.0,65.2,76.3,60.4,0.30,12.25
Alachua,-82.3576,29.6748,147.0,2006-01-02,0.04,59.5,68.7,77.9,63.1,0.41,13.45
Alachua,-82.3576,29.6748,147.0,2006-01-03,1.96,63.9,71.7,79.5,63.9,0.82,15.43
Alachua,-82.3576,29.6748,147.0,2006-01-04,0.00,44.0,58.8,73.7,49.5,0.32,17.55
Alachua,-82.3576,29.6748,147.0,2006-01-05,0.00,44.6,57.0,69.3,47.7,0.22,12.95
Alachua,-82.3576,29.6748,147.0,2006-01-06,0.00,41.0,56.3,71.6,49.4,0.21,11.16
Alachua,-82.3576,29.6748,147.0,2006-01-07,0.00,32.0,42.4,52.8,31.9,0.96,7.24
Alachua,-82.3576,29.6748,147.0,2006-01-08,0.00,30.5,41.3,52.0,29.1,0.27,8.45
Alachua,-82.3576,29.6748,147.0,2006-01-09,0.00,32.1,49.5,66.9,40.0,0.10,14.47
Alachua,-82.3576,29.6748,147.0,2006-01-10,0.00,35.4,53.3,71.3,40.9,0.34,18.73
Alachua,-82.3576,29.6748,147.0,2006-01-11,0.00,45.7,60.4,75.0,54.5,0.23,14.91
Alachua,-82.3576,29.6748,147.0,2006-01-12,0.00,48.7,62.3,75.9,54.8,0.19,15.26
Alachua,-82.3576,29.6748,147.0,2006-01-13,0.00,48.6,63.0,77.3,55.2,0.14,16.82
Alachua,-82.3576,29.6748,147.0,2006-01-14,0.19,45.8,60.4,75.0,54.3,0.38,9.69
Alachua,-82.3576,29.6748,147.0,2006-01-15,0.02,33.7,44.5,55.4,27.9,2.09,9.56
Alachua,-82.3576,29.6748,147.0,2006-01-16,0.00,33.7,47.8,61.9,33.1,1.06,14.53
Alachua,-82.3576,29.6748,147.0,2006-01-17,0.00,40.3,54.7,69.2,40.3,0.45,16.09
Alachua,-82.3576,29.6748,147.0,2006-01-18,0.10,44.8,59.3,73.8,53.7,0.70,12.51
Alachua,-82.3576,29.6748,147.0,2006-01-19,0.00,28.7,42.4,56.2,28.7,0.30,11.12
Alachua,-82.3576,29.6748,147.0,2006-01-20,0.02,29.5,48.1,66.7,41.2,0.21,12.20
Alachua,-82.3576,29.6748,147.0,2006-01-21,0.01,43.5,58.8,74.1,58.8,0.13,10.83
Alachua,-82.3576,29.6748,147.0,2006-01-22,0.00,60.7,70.1,79.6,61.7,0.47,16.14
Alachua,-82.3576,29.6748,147.0,2006-01-23,0.00,63.6,71.2,78.7,63.1,0.71,14.66
Alachua,-82.3576,29.6748,147.0,2006-01-24,0.00,65.5,72.9,80.4,64.6,0.59,15.20
Alachua,-82.3576,29.6748,147.0,2006-01-25,0.00,45.5,61.4,77.3,54.7,1.08,12.86
Alachua,-82.3576,29.6748,147.0,2006-01-26,0.00,36.8,51.9,67.0,29.5,2.67,16.64
Alachua,-82.3576,29.6748,147.0,2006-01-27,0.00,37.3,49.9,62.6,34.2,1.12,12.95
Alachua,-82.3576,29.6748,147.0,2006-01-28,0.00,42.2,54.0,65.9,42.8,0.31,12.47
Alachua,-82.3576,29.6748,147.0,2006-01-29,0.00,44.9,58.3,71.7,50.2,0.36,14.93
Alachua,-82.3576,29.6748,147.0,2006-01-30,0.66,59.1,66.5,73.9,58.7,1.11,13.59
Alachua,-82.3576,29.6748,147.0,2006-01-31,0.14,45.7,56.6,67.5,56.1,0.89,5.35
