PRISM Time Series Data
Locations: 67
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1984-01-01 - 1984-12-31
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2023-Jun-15
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
Alachua,-82.3576,29.6748,147.0,1984-01-01,0.00,26.4,36.2,46.1,19.7,0.62,7.59
Alachua,-82.3576,29.6748,147.0,1984-01-02,0.00,28.7,41.9,55.1,28.2,1.22,9.44
Alachua,-82.3576,29.6748,147.0,1984-01-03,0.00,32.6,48.2,63.8,36.1,0.35,11.26
Alachua,-82.3576,29.6748,147.0,1984-01-04,0.00,33.3,48.4,63.6,33.9,0.62,13.35
Alachua,-82.3576,29.6748,147.0,1984-01-05,0.00,35.4,49.3,63.2,37.0,0.68,13.09
Alachua,-82.3576,29.6748,147.0,1984-01-06,0.00,36.0,51.2,66.3,40.0,0.14,12.88
Alachua,-82.3576,29.6748,147.0,1984-01-07,0.01,37.5,52.6,67.8,41.5,0.19,17.19
Alachua,-82.3576,29.6748,147.0,1984-01-08,0.00,35.7,51.1,66.5,35.1,0.30,17.24
Alachua,-82.3576,29.6748,147.0,1984-01-09,0.00,35.7,50.0,64.4,34.7,0.81,14.52
Alachua,-82.3576,29.6748,147.0,1984-01-10,0.20,40.3,53.8,67.3,51.1,0.14,10.38
Alachua,-82.3576,29.6748,147.0,1984-01-11,0.08,50.2,61.2,72.3,58.5,0.21,8.18
Alachua,-82.3576,29.6748,147.0,1984-01-12,0.04,38.5,43.8,49.2,40.1,0.17,2.15
Alachua,-82.3576,29.6748,147.0,1984-01-13,0.09,39.4,43.1,46.8,40.2,0.21,1.77
Alachua,-82.3576,29.6748,147.0,1984-01-14,0.00,39.6,44.0,48.3,42.7,0.03,1.82
Alachua,-82.3576,29.6748,147.0,1984-01-15,0.00,41.3,46.0,50.8,45.9,0.00,1.73
Alachua,-82.3576,29.6748,147.0,1984-01-16,0.00,47.5,50.2,52.8,47.9,0.16,1.76
Alachua,-82.3576,29.6748,147.0,1984-01-17,0.00,47.8,52.6,57.4,52.1,0.04,2.31
Alachua,-82.3576,29.6748,147.0,1984-01-18,0.06,52.2,58.1,63.9,55.2,0.04,3.88
Alachua,-82.3576,29.6748,147.0,1984-01-19,0.23,54.6,64.1,73.6,64.1,0.04,4.69
Alachua,-82.3576,29.6748,147.0,1984-01-20,0.00,37.7,48.3,58.8,39.3,0.27,6.86
Alachua,-82.3576,29.6748,147.0,1984-01-21,0.18,34.1,41.2,48.3,34.7,0.32,4.18
Alachua,-82.3576,29.6748,147.0,1984-01-22,0.00,32.8,40.9,48.9,28.0,0.72,7.23
Alachua,-82.3576,29.6748,147.0,1984-01-23,0.00,37.5,48.3,59.2,42.2,0.34,7.62
Alachua,-82.3576,29.6748,147.0,1984-01-24,0.08,49.2,60.1,71.1,55.3,0.05,10.97
