PRISM Time Series Data
Locations: 67
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2010-01-01 - 2010-12-31
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2023-Jun-15
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
Alachua,-82.3576,29.6748,147.0,2010-01-01,0.17,53.2,62.7,72.1,59.5,0.30,9.24
Alachua,-82.3576,29.6748,147.0,2010-01-02,0.86,33.4,47.1,60.7,42.9,0.35,4.15
Alachua,-82.3576,29.6748,147.0,2010-01-03,0.00,27.4,41.1,54.8,25.4,0.94,9.55
Alachua,-82.3576,29.6748,147.0,2010-01-04,0.00,25.8,33.8,41.7,20.4,1.04,5.37
Alachua,-82.3576,29.6748,147.0,2010-01-05,0.00,26.2,38.1,50.1,16.7,1.40,9.79
Alachua,-82.3576,29.6748,147.0,2010-01-06,0.00,23.8,34.8,45.7,15.3,1.35,7.89
Alachua,-82.3576,29.6748,147.0,2010-01-07,0.00,21.8,35.5,49.2,15.3,0.50,9.82
Alachua,-82.3576,29.6748,147.0,2010-01-08,0.00,22.5,39.9,57.3,23.8,0.60,13.52
Alachua,-82.3576,29.6748,147.0,2010-01-09,0.05,30.0,38.9,47.8,29.1,0.53,3.83
Alachua,-82.3576,29.6748,147.0,2010-01-10,0.00,20.9,28.9,36.9,16.3,0.70,4.37
Alachua,-82.3576,29.6748,147.0,2010-01-11,0.00,17.7,29.9,42.1,16.8,0.32,6.05
Alachua,-82.3576,29.6748,147.0,2010-01-12,0.00,19.5,34.6,49.8,19.3,0.33,9.29
Alachua,-82.3576,29.6748,147.0,2010-01-13,0.00,24.0,40.5,57.0,23.9,0.38,12.04
Alachua,-82.3576,29.6748,147.0,2010-01-14,0.00,26.3,42.1,57.9,28.6,0.15,11.48
Alachua,-82.3576,29.6748,147.0,2010-01-15,0.00,30.5,49.0,67.5,41.5,0.14,14.10
Alachua,-82.3576,29.6748,147.0,2010-01-16,0.03,42.3,56.5,70.6,52.1,0.19,12.39
Alachua,-82.3576,29.6748,147.0,2010-01-17,1.46,59.9,65.0,70.0,63.7,0.32,4.02
Alachua,-82.3576,29.6748,147.0,2010-01-18,0.00,51.8,61.2,70.5,53.2,1.06,9.29
Alachua,-82.3576,29.6748,147.0,2010-01-19,0.00,40.1,52.1,64.1,45.3,0.14,9.27
Alachua,-82.3576,29.6748,147.0,2010-01-20,0.00,38.0,53.9,69.7,44.6,0.05,14.30
Alachua,-82.3576,29.6748,147.0,2010-01-21,0.00,39.7,55.9,72.1,51.8,0.13,14.25
Alachua,-82.3576,29.6748,147.0,2010-01-22,1.28,59.1,65.9,72.8,65.0,0.05,4.91
Alachua,-82.3576,29.6748,147.0,2010-01-23,0.00,50.0,63.5,77.1,54.0,0.41,19.98
Alachua,-82.3576,29.6748,147.0,2010-01-24,0.00,50.5,60.2,69.9,54.9,0.67,9.27
Alachua,-82.3576,29.6748,147.0,2010-01-25,0.43,54.9,67.3,79.7,63.7,0.92,13.75
Alachua,-82.3576,29.6748,147.0,2010-01-26,0.00,43.2,55.9,68.6,43.3,0.48,15.68
Alachua,-82.3576,29.6748,147.0,2010-01-27,0.00,34.3,49.9,65.5,35.5,0.38,15.43
Alachua,-82.3576,29.6748,147.0,2010-01-28,0.00,33.7,49.0,64.4,34.6,0.22,15.12
Alachua,-82.3576,29.6748,147.0,2010-01-29,0.00,34.3,51.8,69.3,39.7,0.18,18.09
Alachua,-82.3576,29.6748,147.0,2010-01-30,0.00,46.1,58.8,71.5,52.5,0.65,12.58
Alachua,-82.3576,29.6748,147.0,2010-01-31,0.38,42.9,55.6,68.2,55.3,0.54,3.75
Alachua,-82.3576,29.6748,147.0,2010-02-01,0.00,40.9,46.6,52.3,37.5,0.95,5.72
Alachua,-82.3576,29.6748,147.0,2010-02-02,0.52,45.3,54.3,63.4,54.0,0.09,5.67
Alachua,-82.3576,29.6748,147.0,2010-02-03,0.09,44.0,53.4,62.8,51.4,0.13,5.04
Alachua,-82.3576,29.6748,147.0,2010-02-04,0.00,43.7,53.3,62.8,44.4,0.45,9.88
Alachua,-82.3576,29.6748,147.0,2010-02-05,0.00,50.9,61.4,72.0,55.3,0.90,12.70
Alachua,-82.3576,29.6748,147.0,2010-02-06,0.63,55.8,64.2,72.6,59.1,0.67,6.34
Alachua,-82.3576,29.6748,147.0,2010-02-07,0.00,41.9,51.6,61.4,40.2,1.84,9.86
Alachua,-82.3576,29.6748,147.0,2010-02-08,0.00,32.2,43.1,53.9,34.4,0.22,7.34
Alachua,-82.3576,29.6748,147.0,2010-02-09,0.00,32.9,48.1,63.3,41.1,0.15,11.53
Alachua,-82.3576,29.6748,147.0,2010-02-10,1.27,34.7,48.2,61.6,48.2,0.14,3.31
Alachua,-82.3576,29.6748,147.0,2010-02-11,0.00,31.1,41.3,51.6,23.7,1.62,9.14
Alachua,-82.3576,29.6748,147.0,2010-02-12,0.45,31.7,41.0,50.3,31.1,0.60,7.50
Alachua,-82.3576,29.6748,147.0,2010-02-13,1.38,36.9,41.4,45.9,38.9,0.18,1.25
Alachua,-82.3576,29.6748,147.0,2010-02-14,0.00,27.9,39.7,51.5,29.4,0.26,8.01
Alachua,-82.3576,29.6748,147.0,2010-02-15,0.00,29.2,43.9,58.6,32.0,0.22,11.22
Alachua,-82.3576,29.6748,147.0,2010-02-16,0.00,32.5,48.4,64.4,36.7,0.44,15.28
Alachua,-82.3576,29.6748,147.0,2010-02-17,0.00,28.9,40.7,52.5,27.7,0.52,8.69
Alachua,-82.3576,29.6748,147.0,2010-02-18,0.00,30.3,42.7,55.1,29.5,0.76,9.89
Alachua,-82.3576,29.6748,147.0,2010-02-19,0.00,33.1,45.7,58.4,29.9,0.48,11.72
Alachua,-82.3576,29.6748,147.0,2010-02-20,0.00,35.8,50.7,65.6,34.5,0.59,16.29
Alachua,-82.3576,29.6748,147.0,2010-02-21,0.00,37.6,54.1,70.7,36.0,0.49,19.96
Alachua,-82.3576,29.6748,147.0,2010-02-22,0.00,40.7,57.5,74.4,49.9,0.56,17.21
Alachua,-82.3576,29.6748,147.0,2010-02-23,0.26,55.1,63.1,71.0,58.7,0.39,8.27
Alachua,-82.3576,29.6748,147.0,2010-02-24,0.00,46.0,59.9,73.8,50.6,0.30,16.93
Alachua,-82.3576,29.6748,147.0,2010-02-25,0.09,34.4,48.4,62.5,42.0,0.64,7.39
Alachua,-82.3576,29.6748,147.0,2010-02-26,0.00,26.7,39.5,52.4,23.5,0.51,9.90
Alachua,-82.3576,29.6748,147.0,2010-02-27,0.01,29.1,44.1,59.1,25.6,0.63,13.73
