PRISM Time Series Data
Locations: 67
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2019-01-01 - 2019-12-31
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2023-Jun-15
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
Alachua,-82.3576,29.6748,147.0,2019-01-01,0.00,58.9,70.0,81.1,64.1,0.06,15.10
Alachua,-82.3576,29.6748,147.0,2019-01-02,0.00,58.8,70.1,81.3,62.7,0.09,16.78
Alachua,-82.3576,29.6748,147.0,2019-01-03,0.00,60.2,70.3,80.4,63.5,0.22,15.94
Alachua,-82.3576,29.6748,147.0,2019-01-04,0.00,62.7,71.2,79.6,66.5,0.22,11.20
Alachua,-82.3576,29.6748,147.0,2019-01-05,0.75,51.3,65.0,78.8,58.9,0.53,11.66
Alachua,-82.3576,29.6748,147.0,2019-01-06,0.00,42.1,51.3,60.5,45.1,0.25,6.70
Alachua,-82.3576,29.6748,147.0,2019-01-07,0.00,42.1,56.4,70.6,45.5,0.13,15.38
Alachua,-82.3576,29.6748,147.0,2019-01-08,0.00,45.3,60.1,74.8,54.2,0.20,14.18
Alachua,-82.3576,29.6748,147.0,2019-01-09,0.00,50.3,62.1,73.9,56.7,0.18,11.79
Alachua,-82.3576,29.6748,147.0,2019-01-10,0.00,37.6,51.5,65.4,36.9,0.51,14.23
Alachua,-82.3576,29.6748,147.0,2019-01-11,0.00,34.1,45.8,57.5,32.0,0.33,10.73
Alachua,-82.3576,29.6748,147.0,2019-01-12,0.00,37.8,51.9,66.0,46.4,0.55,10.00
Alachua,-82.3576,29.6748,147.0,2019-01-13,0.00,52.3,63.5,74.6,55.8,0.54,14.40
Alachua,-82.3576,29.6748,147.0,2019-01-14,0.14,52.0,64.0,76.1,56.2,0.41,14.63
Alachua,-82.3576,29.6748,147.0,2019-01-15,0.00,45.4,52.6,59.7,44.7,0.91,6.91
Alachua,-82.3576,29.6748,147.0,2019-01-16,0.00,37.5,45.8,54.2,39.1,0.39,5.71
Alachua,-82.3576,29.6748,147.0,2019-01-17,0.00,34.2,47.5,60.9,37.4,0.39,10.87
Alachua,-82.3576,29.6748,147.0,2019-01-18,0.00,34.5,52.1,69.6,40.0,0.52,18.76
Alachua,-82.3576,29.6748,147.0,2019-01-19,0.00,49.5,62.0,74.5,51.2,0.77,14.93
Alachua,-82.3576,29.6748,147.0,2019-01-20,1.51,52.9,65.4,77.9,56.9,0.92,19.26
Alachua,-82.3576,29.6748,147.0,2019-01-21,0.00,33.0,45.6,58.3,37.1,0.61,5.40
Alachua,-82.3576,29.6748,147.0,2019-01-22,0.00,33.4,45.7,58.0,34.3,0.53,10.01
Alachua,-82.3576,29.6748,147.0,2019-01-23,0.00,43.3,57.6,71.8,51.2,0.49,14.40
Alachua,-82.3576,29.6748,147.0,2019-01-24,1.51,56.3,67.4,78.4,60.5,0.92,17.72
Alachua,-82.3576,29.6748,147.0,2019-01-25,0.00,37.2,53.6,70.1,47.2,0.65,12.18
Alachua,-82.3576,29.6748,147.0,2019-01-26,0.00,37.5,49.0,60.5,33.8,0.97,12.65
Alachua,-82.3576,29.6748,147.0,2019-01-27,0.07,42.1,51.2,60.2,32.6,2.04,13.06
Alachua,-82.3576,29.6748,147.0,2019-01-28,1.83,40.9,44.2,47.6,42.7,0.46,1.69
Alachua,-82.3576,29.6748,147.0,2019-01-29,0.00,35.4,48.0,60.7,39.0,0.33,10.75
Alachua,-82.3576,29.6748,147.0,2019-01-30,0.00,35.4,49.4,63.4,39.7,0.40,13.52
Alachua,-82.3576,29.6748,147.0,2019-01-31,0.00,32.3,41.1,49.8,25.1,1.15,8.53
Alachua,-82.3576,29.6748,147.0,2019-02-01,0.00,36.8,49.2,61.6,37.2,2.22,11.28
Alachua,-82.3576,29.6748,147.0,2019-02-02,0.15,51.6,60.2,68.7,56.1,0.72,7.39
Alachua,-82.3576,29.6748,147.0,2019-02-03,0.19,59.1,65.7,72.2,60.8,0.66,7.25
Alachua,-82.3576,29.6748,147.0,2019-02-04,0.03,58.4,61.5,64.6,59.3,0.54,2.26
Alachua,-82.3576,29.6748,147.0,2019-02-05,0.00,48.5,59.9,71.3,53.7,0.37,10.61
Alachua,-82.3576,29.6748,147.0,2019-02-06,0.00,49.1,63.7,78.3,56.0,0.35,16.92
