PRISM Time Series Data
Locations: 67
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2016-01-01 - 2016-12-31
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2023-Jun-15
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
Alachua,-82.3576,29.6748,147.0,2016-01-01,0.00,68.8,75.7,82.5,70.3,0.40,12.43
Alachua,-82.3576,29.6748,147.0,2016-01-02,0.21,51.3,64.3,77.3,60.5,0.26,7.35
Alachua,-82.3576,29.6748,147.0,2016-01-03,0.35,48.7,53.0,57.2,49.7,0.31,2.85
Alachua,-82.3576,29.6748,147.0,2016-01-04,0.17,43.3,47.4,51.4,45.9,0.29,1.50
Alachua,-82.3576,29.6748,147.0,2016-01-05,0.00,39.8,51.1,62.4,37.9,1.28,11.76
Alachua,-82.3576,29.6748,147.0,2016-01-06,0.00,38.7,47.7,56.7,40.8,0.67,6.11
Alachua,-82.3576,29.6748,147.0,2016-01-07,0.00,44.5,52.2,59.8,48.0,0.36,5.43
Alachua,-82.3576,29.6748,147.0,2016-01-08,0.19,49.3,56.7,64.1,54.9,0.05,5.10
Alachua,-82.3576,29.6748,147.0,2016-01-09,0.01,57.8,62.2,66.5,60.3,0.13,2.87
Alachua,-82.3576,29.6748,147.0,2016-01-10,0.00,58.4,63.2,67.9,62.5,0.04,2.60
Alachua,-82.3576,29.6748,147.0,2016-01-11,0.00,34.8,48.8,62.9,44.8,0.57,7.13
Alachua,-82.3576,29.6748,147.0,2016-01-12,0.00,30.0,42.8,55.6,30.5,0.21,10.37
Alachua,-82.3576,29.6748,147.0,2016-01-13,0.00,29.5,45.3,61.0,30.7,0.21,14.14
Alachua,-82.3576,29.6748,147.0,2016-01-14,0.00,35.5,46.8,58.2,36.5,0.24,9.86
Alachua,-82.3576,29.6748,147.0,2016-01-15,0.00,37.9,50.6,63.4,46.6,0.45,8.72
Alachua,-82.3576,29.6748,147.0,2016-01-16,0.36,48.8,61.2,73.7,55.9,0.11,12.43
Alachua,-82.3576,29.6748,147.0,2016-01-17,1.06,50.9,60.5,70.0,59.4,0.09,5.87
Alachua,-82.3576,29.6748,147.0,2016-01-18,0.00,36.1,48.5,60.9,41.7,0.56,8.18
Alachua,-82.3576,29.6748,147.0,2016-01-19,0.00,32.5,45.7,58.8,32.4,0.64,11.10
Alachua,-82.3576,29.6748,147.0,2016-01-20,0.00,27.2,40.1,53.1,24.7,0.28,10.18
Alachua,-82.3576,29.6748,147.0,2016-01-21,0.00,28.9,46.0,63.1,34.8,0.26,13.20
Alachua,-82.3576,29.6748,147.0,2016-01-22,0.00,37.1,53.4,69.7,47.8,0.34,15.31
Alachua,-82.3576,29.6748,147.0,2016-01-23,0.32,37.7,52.9,68.1,48.2,0.44,8.56
Alachua,-82.3576,29.6748,147.0,2016-01-24,0.00,27.0,35.6,44.2,28.4,0.41,4.43
Alachua,-82.3576,29.6748,147.0,2016-01-25,0.00,27.3,41.2,55.1,29.5,0.17,9.70
Alachua,-82.3576,29.6748,147.0,2016-01-26,0.00,29.9,48.5,67.2,43.6,0.18,12.79
Alachua,-82.3576,29.6748,147.0,2016-01-27,0.06,50.8,61.3,71.7,56.2,0.20,11.48
Alachua,-82.3576,29.6748,147.0,2016-01-28,0.00,57.3,64.3,71.3,60.6,0.10,7.18
Alachua,-82.3576,29.6748,147.0,2016-01-29,0.15,42.4,50.7,58.9,50.7,0.12,1.08
Alachua,-82.3576,29.6748,147.0,2016-01-30,0.00,38.5,52.8,67.1,40.4,0.11,15.46
Alachua,-82.3576,29.6748,147.0,2016-01-31,0.00,38.0,53.4,68.8,44.0,0.12,15.78
Alachua,-82.3576,29.6748,147.0,2016-02-01,0.00,46.0,55.8,65.5,50.9,0.11,8.49
Alachua,-82.3576,29.6748,147.0,2016-02-02,0.00,51.2,65.4,79.5,59.5,0.06,15.36
Alachua,-82.3576,29.6748,147.0,2016-02-03,0.00,56.7,69.9,83.0,65.9,0.05,17.46
Alachua,-82.3576,29.6748,147.0,2016-02-04,0.00,68.5,75.7,83.0,67.1,1.31,16.57
Alachua,-82.3576,29.6748,147.0,2016-02-05,3.11,39.1,55.4,71.7,51.8,0.05,4.11
Alachua,-82.3576,29.6748,147.0,2016-02-06,0.00,38.8,48.1,57.4,34.0,1.40,10.24
Alachua,-82.3576,29.6748,147.0,2016-02-07,0.37,41.4,49.5,57.6,44.1,0.10,5.18
Alachua,-82.3576,29.6748,147.0,2016-02-08,0.00,34.0,45.4,56.8,32.9,0.41,10.53
Alachua,-82.3576,29.6748,147.0,2016-02-09,0.00,36.0,49.6,63.3,37.0,0.67,11.68
Alachua,-82.3576,29.6748,147.0,2016-02-10,0.00,30.9,43.8,56.6,28.4,1.05,9.82
Alachua,-82.3576,29.6748,147.0,2016-02-11,0.00,29.3,41.7,54.1,21.9,0.44,11.40
Alachua,-82.3576,29.6748,147.0,2016-02-12,0.00,31.1,49.6,68.1,44.4,0.23,13.77
Alachua,-82.3576,29.6748,147.0,2016-02-13,0.00,50.2,62.4,74.5,54.5,0.18,15.69
Alachua,-82.3576,29.6748,147.0,2016-02-14,0.00,35.6,50.0,64.4,28.9,1.40,16.48
Alachua,-82.3576,29.6748,147.0,2016-02-15,0.00,36.9,51.6,66.3,43.5,0.13,12.30
Alachua,-82.3576,29.6748,147.0,2016-02-16,0.47,47.3,59.4,71.5,57.4,0.08,10.47
Alachua,-82.3576,29.6748,147.0,2016-02-17,0.00,44.7,58.1,71.6,47.8,0.13,16.49
Alachua,-82.3576,29.6748,147.0,2016-02-18,0.00,41.8,57.4,73.0,46.5,0.28,15.86
Alachua,-82.3576,29.6748,147.0,2016-02-19,0.00,41.5,54.8,68.2,41.4,0.51,15.70
Alachua,-82.3576,29.6748,147.0,2016-02-20,0.00,43.6,57.4,71.2,48.7,0.12,13.97
Alachua,-82.3576,29.6748,147.0,2016-02-21,0.00,45.8,61.2,76.6,51.4,0.36,18.80
Alachua,-82.3576,29.6748,147.0,2016-02-22,0.00,51.2,64.3,77.3,53.4,0.34,18.98
Alachua,-82.3576,29.6748,147.0,2016-02-23,0.10,52.5,64.1,75.7,58.0,0.19,14.80
Alachua,-82.3576,29.6748,147.0,2016-02-24,0.06,63.1,72.4,81.8,65.3,0.21,17.46
Alachua,-82.3576,29.6748,147.0,2016-02-25,0.02,44.5,62.0,79.4,51.8,1.09,14.78
Alachua,-82.3576,29.6748,147.0,2016-02-26,0.00,41.2,51.7,62.1,35.8,0.94,13.00
Alachua,-82.3576,29.6748,147.0,2016-02-27,0.00,31.9,46.3,60.6,31.7,0.31,12.80
Alachua,-82.3576,29.6748,147.0,2016-02-28,0.00,33.4,49.2,65.1,33.0,0.23,16.04
Alachua,-82.3576,29.6748,147.0,2016-02-29,0.00,36.2,53.7,71.1,35.7,0.44,20.39
Alachua,-82.3576,29.6748,147.0,2016-03-01,0.00,41.2,58.1,75.0,42.9,0.47,21.86
Alachua,-82.3576,29.6748,147.0,2016-03-02,0.00,45.2,61.6,78.1,51.6,0.54,21.15
Alachua,-82.3576,29.6748,147.0,2016-03-03,0.00,43.2,60.1,77.0,43.9,1.33,22.98
Alachua,-82.3576,29.6748,147.0,2016-03-04,0.18,45.6,61.5,77.4,47.6,0.45,23.06
Alachua,-82.3576,29.6748,147.0,2016-03-05,0.00,39.2,50.9,62.5,47.8,0.04,7.14
Alachua,-82.3576,29.6748,147.0,2016-03-06,0.00,39.7,55.4,71.1,45.8,0.15,17.43
Alachua,-82.3576,29.6748,147.0,2016-03-07,0.00,42.7,58.2,73.7,41.6,0.32,21.33
Alachua,-82.3576,29.6748,147.0,2016-03-08,0.00,46.3,62.2,78.0,51.3,0.45,20.46
Alachua,-82.3576,29.6748,147.0,2016-03-09,0.00,52.0,65.7,79.4,54.7,0.53,20.41
Alachua,-82.3576,29.6748,147.0,2016-03-10,0.00,59.0,70.4,81.9,59.3,0.54,20.74
Alachua,-82.3576,29.6748,147.0,2016-03-11,0.00,57.0,70.8,84.6,60.9,0.16,23.30
Alachua,-82.3576,29.6748,147.0,2016-03-12,0.00,57.4,70.2,83.0,59.9,0.22,21.82
Alachua,-82.3576,29.6748,147.0,2016-03-13,0.00,58.9,71.0,83.2,62.6,0.18,20.42
Alachua,-82.3576,29.6748,147.0,2016-03-14,0.34,62.3,70.4,78.5,66.2,0.04,10.37
Alachua,-82.3576,29.6748,147.0,2016-03-15,0.00,62.9,73.2,83.5,66.0,0.18,19.04
Alachua,-82.3576,29.6748,147.0,2016-03-16,0.00,65.0,75.4,85.8,63.2,0.86,27.47
Alachua,-82.3576,29.6748,147.0,2016-03-17,0.00,69.0,78.1,87.2,66.6,0.96,25.76
Alachua,-82.3576,29.6748,147.0,2016-03-18,1.56,62.6,70.7,78.8,64.9,0.24,9.62
Alachua,-82.3576,29.6748,147.0,2016-03-19,0.03,63.6,71.2,78.8,65.3,0.22,12.71
Alachua,-82.3576,29.6748,147.0,2016-03-20,0.04,63.5,70.6,77.7,64.2,0.36,12.56
Alachua,-82.3576,29.6748,147.0,2016-03-21,0.00,43.2,60.8,78.4,46.6,1.16,16.52
Alachua,-82.3576,29.6748,147.0,2016-03-22,0.00,36.1,49.8,63.5,33.0,0.48,14.04
Alachua,-82.3576,29.6748,147.0,2016-03-23,0.00,41.5,57.1,72.7,38.1,0.69,21.58
Alachua,-82.3576,29.6748,147.0,2016-03-24,0.00,48.8,63.7,78.7,51.5,0.40,21.40
Alachua,-82.3576,29.6748,147.0,2016-03-25,0.24,56.0,69.5,82.9,61.3,0.25,20.00
Alachua,-82.3576,29.6748,147.0,2016-03-26,0.20,64.3,69.3,74.3,65.4,0.61,7.43
Alachua,-82.3576,29.6748,147.0,2016-03-27,0.05,67.1,72.8,78.4,68.9,0.27,7.95
Alachua,-82.3576,29.6748,147.0,2016-03-28,0.46,66.6,74.9,83.3,69.5,0.57,13.17
Alachua,-82.3576,29.6748,147.0,2016-03-29,0.00,59.7,71.3,82.8,64.1,0.17,17.00
Alachua,-82.3576,29.6748,147.0,2016-03-30,0.00,59.0,67.5,75.9,60.6,0.79,11.72
Alachua,-82.3576,29.6748,147.0,2016-03-31,0.00,62.1,71.7,81.3,60.5,0.74,19.55
