PRISM Time Series Data
Locations: 67
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2014-01-01 - 2014-12-31
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2023-Jun-15
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
Alachua,-82.3576,29.6748,147.0,2014-01-01,0.04,49.9,56.4,63.0,48.7,0.42,8.70
Alachua,-82.3576,29.6748,147.0,2014-01-02,1.59,50.9,54.8,58.7,54.8,0.01,0.87
Alachua,-82.3576,29.6748,147.0,2014-01-03,0.73,34.2,49.5,64.9,49.5,0.07,4.89
Alachua,-82.3576,29.6748,147.0,2014-01-04,0.00,32.1,38.7,45.3,25.4,0.97,6.33
Alachua,-82.3576,29.6748,147.0,2014-01-05,0.00,37.5,47.7,57.9,47.7,0.17,4.38
Alachua,-82.3576,29.6748,147.0,2014-01-06,0.00,50.4,63.4,76.3,60.2,0.10,11.69
Alachua,-82.3576,29.6748,147.0,2014-01-07,0.04,26.0,45.8,65.6,29.3,0.61,5.54
Alachua,-82.3576,29.6748,147.0,2014-01-08,0.00,25.0,32.4,39.8,11.6,1.99,6.13
Alachua,-82.3576,29.6748,147.0,2014-01-09,0.18,32.3,42.3,52.3,40.8,0.45,3.65
Alachua,-82.3576,29.6748,147.0,2014-01-10,0.13,48.1,56.4,64.7,56.4,0.04,2.91
Alachua,-82.3576,29.6748,147.0,2014-01-11,0.00,62.6,70.0,77.5,66.6,0.09,8.73
Alachua,-82.3576,29.6748,147.0,2014-01-12,0.48,45.8,61.5,77.3,61.4,0.15,7.80
Alachua,-82.3576,29.6748,147.0,2014-01-13,0.00,39.2,52.3,65.4,38.9,0.25,14.59
Alachua,-82.3576,29.6748,147.0,2014-01-14,1.66,41.7,57.6,73.5,57.2,0.06,11.29
Alachua,-82.3576,29.6748,147.0,2014-01-15,0.08,40.6,54.5,68.5,52.1,0.07,9.02
Alachua,-82.3576,29.6748,147.0,2014-01-16,0.00,34.9,48.5,62.1,38.4,0.18,11.28
Alachua,-82.3576,29.6748,147.0,2014-01-17,0.00,30.2,40.3,50.4,26.2,0.32,8.76
Alachua,-82.3576,29.6748,147.0,2014-01-18,0.00,31.0,47.6,64.2,39.9,0.19,10.77
Alachua,-82.3576,29.6748,147.0,2014-01-19,0.00,30.4,41.5,52.6,22.6,0.44,10.40
Alachua,-82.3576,29.6748,147.0,2014-01-20,0.08,31.6,47.1,62.5,43.6,0.02,8.62
Alachua,-82.3576,29.6748,147.0,2014-01-21,0.00,34.9,50.7,66.6,42.8,0.02,14.58
Alachua,-82.3576,29.6748,147.0,2014-01-22,0.02,32.7,50.0,67.3,42.5,0.22,8.57
Alachua,-82.3576,29.6748,147.0,2014-01-23,0.00,29.0,39.4,49.9,23.8,0.46,8.78
Alachua,-82.3576,29.6748,147.0,2014-01-24,0.00,33.0,44.0,54.9,23.9,1.15,10.72
Alachua,-82.3576,29.6748,147.0,2014-01-25,0.00,35.5,42.7,50.0,21.8,1.24,9.79
Alachua,-82.3576,29.6748,147.0,2014-01-26,0.00,38.2,50.1,61.9,44.0,0.07,8.87
Alachua,-82.3576,29.6748,147.0,2014-01-27,0.00,39.5,52.1,64.6,47.0,0.06,10.93
Alachua,-82.3576,29.6748,147.0,2014-01-28,0.00,51.7,62.6,73.4,54.6,0.25,13.45
Alachua,-82.3576,29.6748,147.0,2014-01-29,0.41,38.4,52.4,66.4,51.8,0.07,3.46
